,mean,std,min,max,dtype
open,0.39035772913816685,0.10706765376619799,0.223,0.686,float64
high,0.398843365253078,0.11055643326110029,0.228,0.74,float64
low,0.38057455540355684,0.10333292278779922,0.202,0.66,float64
close,0.39026470588235296,0.10694641157074906,0.223,0.689,float64
volume,81441.90529101386,163502.24189234723,120.15561993,3278868.6331697046,float64
trades,116.38030095759234,172.21755846003444,3.0,3669.0,float64
volume_change,1.9862080584238764,11.306324688396412,-0.9941150017654121,338.1609792985015,float64
close_to_high,0.9796119218181781,0.023076061023232876,0.7504244482173176,1.0,float64
close_to_low,1.0251196927779356,0.027873546423199193,1.0,1.2686567164179103,float64
log_price_range,0.04534974801268704,0.037223779387488096,0.002436054797881121,0.3627725238068508,float64
ma_zscore_14,0.04866665958721396,1.2666737211955346,-3.2993816856769183,3.065138352201055,float64
mom_2_1,0.0005243062753495756,0.03246787799586947,-0.17543859649122806,0.22248243559718972,float64
mom_14_2,0.005708486901734399,0.10475388293448357,-0.36314363143631434,0.43973941368078173,float64
mom_12_7,0.002430074362393085,0.06887264283137254,-0.28336380255941507,0.3194029850746267,float64
mom_36_13,0.011253870338358202,0.14489063644835973,-0.46251993620414666,0.5873417721518988,float64
strev_6,-0.0024925940585208382,0.06885535119785165,-0.3194029850746267,0.28336380255941507,float64
ltrev_28,-0.012455649366551502,0.1588728976737502,-0.6781250000000001,0.4337349397590361,float64
ema_diff_norm_10_21,-0.00245417745673583,0.030786480317243913,-0.1195653116165257,0.07392810872237714,float64
ema_diff_norm_20_50,-0.006866131512466084,0.054744615494649325,-0.17332937422218433,0.14191931795123286,float64
price_ema_diff_14,-0.0030230725762957753,0.054641737335316465,-0.34539841979831865,0.1873704439246151,float64
macd_hist,-9.727751633248768e-06,0.004218348058623053,-0.01867494018398992,0.013338390200571017,float64
realized_vol_14,0.11040959959308692,0.050466492222273576,0.01878699087338694,0.2989665867917311,float64
weighted_vol_14,0.03751088227038004,0.023732389703648764,0.005925110167165613,0.12941426666979924,float64
volume_zscore_14,0.02343934766437273,1.0082171274710234,-1.8374269153277742,3.4724043405189198,float64
vwap_14,0.390917321002898,0.10676379782411143,0.2338649209016675,0.6485384260430516,float64
sto_osc_14,50.90152470139567,28.07992230547202,0.0,100.0,float64
rsi,49.914180055806646,16.988371648721845,5.19480519480517,91.81818181818181,float64
amihud_14,1.210411029155823e-06,1.3129694336267158e-06,1.084197217899961e-07,1.0048505272055989e-05,float64
beta_market,0.9963332737530609,1.1697007514280422,-0.7862425021609658,4.468323137950346,float64
